title,description
Ricardo,"Afirmo uma dívida em torno no valor de R$ 390,00, sendo que, estou muito interessado em pagar, mas ao meu ponto de vista estã..."
Cancelamento das Minhas contas PJ e PF.,"Prezada equipe do Nubank,Venho por meio desta, expressar minha insatisfação e preocupação em relação ao bloqueio ..."
Tiraram o dinheiro da minha conta,Tiraram o dinheiro da minha conta
Recebi 4 cobranças de Panvel,"Recebi 4 cobranças no cartão de crédito de Panvel Matriz no sábado dia 22/02/2025:R$ 257,96 em 3x às 11:08R..."
Não consigo resgatar meus investimentos,"Invisto no Tesouro Direto por meio do Nubank desde 2018. Ontem, dia 26 de fevereiro de 2025, entrei no aplicativo do banco pa..."
Nu Bank Nó Cego,Eu contestei uma Fatura da Skay cobrada indevidamente em data anterior! No mês seguinte veio a cobrança Novamente! Alegou que...
Nubank bloqueo meu cartão de crédito e estornou todo o valor que tinha em saldo,"Estava em minhas rotinas matinais fui fazer uma compra usando meu cartão de credito sem nenhum problema, não foi entrei para ..."
Nubank Não estorna valor de pedido de ordens em compra de Fundos Imobiliários,"Ontem, pela manhã, dia 26/02/2025, enviei um pedido de compra de um Fundo Imobiliário pelo Nubank. O pedido não foi executado..."
Construir Limite,Eu tenho esse cartão construir limite e já estou no terceiro ciclo e me aumentaram somente míseros 10 reais. Eu isso bastante...
Atendimento via telefone não atende,"Entrei em contato com o Nubank para tentar ativar meu cartão de crédito na minha conta Google Wallet, pois pelo aplicativo es..."
[Editado pelo Reclame Aqui] do pix,"Eu estou mexendo com auxílio doença com advogada, então na dará de hoje eu recebi uma mensagem via WhatsApp que eu tinha um v..."
Boa noite não recebi meu cartão nubank e fala como se tiver feito,Boa noite fui notificado pelo e-mail que recebi meu cartão nubank porém não recebi.
Compra duplicada pela empresa MUVIFLEX,Efetuei compra de passagem de ônibus via muviflex no dia 24/2/25. A compra foi duplicada pela empresa muviflex que solicitou ...
Encerramento de Conta,"Verificando no Registrato do Banco Central, percebi que ainda existe uma conta em meu nome nesta instituição.62.1..."
Erro na transferencia de CDB,Novamente preciso entrar em contato por aqui porque os atendentes do chat não tem a capacidade de entender o que escrevemos.
NETFLIX DEBITO INDEVIDO,"JÁ INFORMEI O CANCELAMENTO DA ASSINATURA E VCS CONTINUAM DEBITANDO DO CC R$ 59,90, ATÉ QUANDO ?QUANTA..."
Cancelamento de Conta,"Fiz a conta digital, foi um sofrimento fazer reconhecimento facial, por fim finalizei, chegou o cartão em minha casa, ao entr..."
NUBANK SE NEGA A ENVIAR COMPROVANTES DE DEVOLUÇÃO,"Boa tarde! estou solicitando de forma continua e alguns dias, o envio do Comprovante Completo de Devolução de um pix efetuado..."
Fiz o acordo e quitei minha dívida,"Sou cliente do banco a mais de 8 anos,uso ele para tudo o que preciso,fiquei desempregada aí não consegui honrar as minhas dú..."
Pendência Registrato,"Realizei a liquidação dos débitos em abertos com o Nubank, porém a dívida ainda continua aparecendo no Registrato. Preciso de..."
Venda BTHF11,"Desde dezembro quando o fundo BTHF11 passou a ser negociado no app do Nubank, venho tentando vender as ações mas não consigo..."
Bloqueio indevido das contas pessoa física e jurídica,Boa tarde tudo bem sou o Tiago tenho duas contas física e outra PJ e o que ocorreu bloquearam a minha as minhas duas contas q...
Reembolso,Eu Fiz uma compra no cartão nubank e eu solicitei o reembolso da minha compra e até hoje não e até hoje não obtive resposta c...
Cancelamento de conta,"Minha conta pj foi cancelada porém a função crédito do cartão continuou ativa,Todas as minhas faturas estão em dia"
Nubank não faz reembolso,"Fiz uma compra através do Rappi, no Supermercado Carrefour, no valor de R$57,07, no dia 20/02/25. Quando fizeram a separação ..."
Saldo sumiu da conta,"Eu tava com um dinheiro na conta de pagar a fatura aí quando chegou no dia, quando eu ia pagar o dinheiro sumiu, aí já tentei..."
Divida,Boa tarde Segue preciso de um a proposta que cabe no meu bolso preciso negociar a dívida mais ainda vocês está me...
Não querem cancelar a compra,"No dia 04 de fevereiro às 21:13 realizei a compra de um sutiã no valor de 139,90 pela loja Cygnuss Lingerie. O produto com es..."
Cobranças indevidas,O Nubank recusa fazer devolução de compras canceladas e abater valor PAGO em fatura corretamente. 1- Fiz 2 pagame...
Entrega do meu cartão de crédito,Eu vi no aplicativo que o meu cartão tá com o entregador sendo que eles nunca vem pro meu endereço sempre dizem que houve fal...
"Compra de um tablet na Amazon, cujo valor foi estornado devido cancelamento do vendedor e a Nubank não devolveu o dinheiro para minha irmã, titular do cartão utilizado.","Eu me chamo Eurana, fiz uma compra na empresa Amazon no dia 30/11/2024 no valor de R$ 961,86. O valor refere-se a compra de u..."
Minha decepção com o nubank,"No dia 18 de fevereiro,as11:20 aproximadamente,recebi uma ligação,como se fosse da central da nubank, dizendo que estavam ten..."
Xbox Game pass Core - Propaganda Enganosa,"Bom dia,Fiz a compra de 12 meses de assinatura do Gamepass Core por revenda oficial direto do Nubank, recebi o có..."
Minha conta foi desativada,Não consigo reativar minha conta
[Editado pelo Reclame Aqui],"Will financeira s.a.credito, financiamento e investimento foi realizado a transferência para uma pessoa que usa está conta, f..."
Falha na Devolução de PIX Neon Não Resolve o Problema,"Descrição:No dia 27/02/2025, realizei uma transferência via PIX da minha conta Nubank para uma conta da Neon, por..."
Limite de cartão de crédito diminuído do nada,"Bom eu tenho o cartão de crédito deles a um tempinho ja , o meu limite foi aumentando com o tempo ate q chegou me um limite b..."
Nubank colocou meu nome no registrato,Nubank colocou meu nome no registrato a lista negra dos bancos e isso cabe processo por danos morais peço por favor que retir...
Juros alto na nubank,"Atrasei algumas parcelas do cartão de crédito, porém sempre renegociei, quando posso, porém faz um ano que venho sempre negoc..."
Acesso aos meus investimentos,"Não consigo resgatar meus investimentos, recebei um e-mail do Nubank informando que eu precisava ligar para os seguintes núme..."
Situação constrangedora,"A algumas semanas estou tentando passar meu cartão de debito em alguns lugares passam em outros não, bem constrangedor esta s..."
[Editado pelo Reclame Aqui],"Fizeram uma transferência no valor de 350,00R$.Fiz boletim de ocorrência, enviei para o banco e obtive a resposta que ..."
Estou sendo prejudicado,"Tenho comércio, e já fazem dois dias que estou enfrentando problemas com esse banco (NUBANK). Tive minha conta bloqueada com ..."
"Tô pedindo só mais 200 de limite,não é algo impossível,esperar até julho pra analisar,se pago minhas faturas certinho tudo mês","Tô usando o nubank,adoro a praticidade e o atendimento do pessoal,mas tô insatisfeito com meu limite,desde quando fiz meu car..."
Cartão de crédito cancelado,"Eu tinha um cartão de crédito na Nubank, mas o infelizmente eu atrasei algumas prestações. Entrei em contato com o atendiment..."
cobrança indevida,"FIZ UMA ANTECIPAÇÃO DA ULTIMA PARCELA DA MINHA FATURA,O SISTEMA DEU DESCONTO E DISSE QUE NA PROXIMA FATURA VINHA PRA EU PAGAR..."
Baixa de pagamento,Na na data de ontem eu precisei fazer um pagamento de boleto para depositar valores na conta do nubank porque eu tinha ultrap...
Solicitação de remoção de consultas no CPF sem autorização,"Prezados,Gostaria de registrar minha insatisfação em relação às consultas realizadas em meu CPF por parte do Nuba..."
[Editado pelo Reclame Aqui],Fiz um pagamento de IPVA pela conta do Bradesco o pagamento foi pra um CNPJ de uma conta nubank chamado recolhimento minas se...
Dívida paga ainda consta no Serasa,Fiz o pagamento de uma dívida/acordo no dia 28/08/2024 e ainda ainda consta no Serasa. Estou sendo prejudicada e corro risco ...
"Bloquearam minha conta sem motivo algum , Eai agora está no meu cpf que é de [Editado pelo Reclame Aqui] ou fralde , sendo que a. Pessoa que fez isso que é [Editado pelo Reclame Aqui] , agora todas as minhas outras contas quando vai receber pix aparece que é [Editado pelo Reclame Aqui] , tenho todas as provas aqui","Bloquearam minha conta sem motivo , e agora todas as minhaas outras contas estão com suspeita de [Editado pelo Reclame Aqui] ..."
"[Editado pelo Reclame Aqui],","Boa tarde,eu recbi uma ligação na data de hoje dia 24/02,uma mulher ,dizendo que o meu aplicativo da nubank tinha sido duplic..."
Não desbloqueiam meu cartão de crédito,"Caros! Eu nunca tive conta em banco digital e devido as propagandas do Nubank eu baixei, fiz um pix pra ativar a conta e cheg..."
Cobrança indevida.,"Hoje dia 27 de fevereiro de 2024 foi realizado uma cobrança no meu cartão USD 2,99 como Star Cluster Pte. Ltd. Esse valor..."
Meu namorado fez transferência via pix,"Meu namorado fez transferência via pix , só que como foi várias de valor alto , vocês bloquearam a conta dele alegando [Edita..."
Caixinha Nubank engana cliente.,"Simplesmente não usem a caixinha da Nubank. Vou lhe dar por experiência própria que, se você tiver uma conta poupança, A SUA ..."
Nubank não libera portabilidade de empréstimo consignado para outro banco,"Estou tentando fazer a portabilidade do contrato de empréstimo consignado que tenho no nubank para o banco Facta, contrato nú..."
Lançamento duplicado da fatura sem devolução,"Eu fiz uma compra de 210,80 em 3x e fiz o cancelamento de um item no valor de r$ 40,25. Fizeram a devolução do valor, só que ..."
Juros abusivo,"A dívida de 129,00 foi para 1.300,00 isso é um [Editado pelo Reclame Aqui], gostaria de pagar a dívida, mas 1.300,00 e um [E..."
Contestação,Fiz uma compra . Não recebi a mercadoria o Nubank me deu crédito de confiança onde me cobrou tudo agora com a afirmação que a...
JUROS ABUSIVOS,"Boa tarde!!Dia 21/02/2025 sexta-feira vence minha fatura, só que fiz o pagamento na data 24/02/2025, Segu..."
Conta bloqueada,Bloquearam minha conta fui assaltada já fiz boletim de ocorrência porém minha conta continua bloqueada
Negociação de fatura,"Fiquei desempregada no dia 01/01/2025, por isso estou com duas faturas em atraso. Com muito custo consegui juntar um valor pa..."
Diminuição no limite sem aviso prévio,"Informo que o banco fez uma prática abusiva que vai de contra ao contrato do banco, pois neste exato momento reduziram meu li..."
Compra negada com limite sobrando - vergonha e dano moral,Essa imundície de banco recusa débitos de baixo valor no meu cartão embora eu tenha limite sobrando e sempre pague em dia. Ne...
Dificuldade de negociação,"Boa tarde.Atualmente, encontro-me com uma dívida junto ao Nubank no valor aproximado de R$ 800,00 e gostaria de s..."
Quero pagar,"Bom, quem usava meu cartão era minha esposa que devido a um acidente nos deixou quinta passada.Diante disto eu as..."
Falta de agilidade no processo de abertura de conta PJ,"Estou há mais de 2 meses, tentando abrir uma conta PJ no Nubank, já liguei algumas vezes nesse meio tempo, falaram que a con..."
O Nu Bank está mandando notificações para nossos clientes que nós somos [Editado pelo Reclame Aqui] e isso é muito grave,"Fazemos vendas diárias através de Pix tanto por conta CPF como pelo nosso CNPJ , e quando um cliente vem em nossa loja ou faz..."
Reativar meu crédito,Fiquei desempregada e n conseguia pagar minha fatura (que no caso era só uma)e assim ficou por um 1mes ou 2meses e depois que...
Bloqueio de cartão,"Meu cartão foi bloqueado pós teve um atraso de pagamento,porém foi pago e eles cancelaram meu cartão isso é um absurdo queria..."
INSCRIÇÃO INDEVIDA NO REGISTRATO.,paguei um acordo com o banco. ao entrar no REGISTRATO deparei esse acordo como prejuízo me impossibilitando de conseguir créd...
Juros exorbitante,"No mês de dezembro, realizei um conversão de limite no valor de 200 reais, a mesma somou um juros de 52 reais, cada parcela f..."
"Botão do perfil, Menu, ocultar valores e chat não aparecem.","Minha conta está com algum problema, não aparece na parte superior o botão do perfil que dá acesso ao menu da conta, e por is..."
CANCELAMENTO DE CONTA SEM EXPLICAÇÃO E DINHEIRO RETIDO,"MEU FILHO, MENOR DE IDADE, TEM UMA CONTA NO NUBANK QUE DEPOSITAMOS DINHEIRO PARA ELE, ELE SEMPRE UTILIZOU A CONTA PARA SEUS G..."
Solicitação de renegociação do meu empréstimo,"Olá, equipe Nubank,Meu nome é *******, CPF *******, e sou cliente de vocês. Estou entrando em contato para solicitar a ..."
Enviei um reclamação dia 21,"Eu enviei essa reclamação dia 21 , porém me enviaram um respaldo dia , 24 com uma simulação , e e estou interessado em formal..."
Cobranças a Parente Gerando Constrangimento,"Estou sendo cobrado vexatoriamente um empréstimo em atraso, estão ligando para meus parentes e vizinhos me cobrando falando a..."
"Juros , multa e mora no cartão de crédito","Olá Nubank sempre paguei meu cartão em dia , porém devido a um imprevisto no meu pagamento acumulou duas faturas , porém com ..."
Restrito mesmo após pagamento,Paguei o acordo porém ainda está restrito nome na serása sendo que já deu prazo para baixa
Cartão de crédito,Tem um ano e meio que cancelaram o meu cartão devido a um atraso no pagamento. Assim que foi possível eu quitei essa dívida e...
Pedido não entregue e falta de suporte,"No dia 12/02, realizei uma compra utilizando o Nubank como intermediário, com o pedido sendo vendido e entregue pelas Casas B..."
"Nubank, informa canais de atendimento que não funcionam","Estou tentando entrar em contato com o Nubank para negociar minha dívida, porém não estou conseguindo.No aplicati..."
Eduardo,"Tô quase 5 ano com esse cartão ,pago sempre em dias ...e meu limite não alimenta, limite de 200 reais .fala aí q [Editado pel..."
Cobrança indevida,"Fiz um plano na academia sua academia live de um ano, mas desfiz o plano paguei a multa por quebra de contrato tudo direitinh..."
Não Tenho Conta,"Recebi mais de uma mensagem de SMS, de empresas dizendo que tenho vantagens por possuir conta e/ou cartão do NUBANK , EU NAO ..."
Nubank não processou meu estorno,"Fiz o reembolso de uma compra feita pela Shein, que já reembolsou há dias a compra e até agora a Nubank não estornou o valor ..."
Call center,"Tive um problema de remarcar atendimento seguro residencia, uma questão muito simples ,acontece que fiquei 45 minutos ouvindo..."
ME DEIXA EXTRAIR MINHAS INFORMAÇÕES,Extrair extrato por período personalizado? IMPOSSIVEL! Qual é a de vocês? Já não basta eu ser PROIBIDO de usar o acesso por s...
Playstation não reconhece a compra do serviço,Fiz a compra do PSN Plus pelo cartão de credito Nubank conforme pagamento no dia 19 de 09/2024 (Ebn *Sonyplastation) desde d...
JUROS ABUSIVOS DA NUBANK,"Sempre paguei minhas faturas na Nubank de forma correta, mas no mês de Junho de 2024 fiquei sem emprego e não consegui pagar ..."
[Editado pelo Reclame Aqui],"Fiz um pix para empresa creamy skicare, pelo site comprei o produto e quando foi na hora de rastrear o pedido d, deu como se ..."
Cartão de credito bloqueado!!,"Fiz um acordo e paguei avista, a minha conta é bastante movimentada e mesmo assim não liberaram meu limite de volta Qu..."
NÃO CONSIGO ACESSAR A CONTA APOS O ENVIO DE DOCUMENTOS PARA A ABERTURA DA CONTA.,"OLÁTUDO BEM ?ANTERIOMENTE FIZ UMA RECLAÇÃO, POR QUE NUNCA TIVE APROVAÇÃO DA CONTA. O RETO..."
PAGUEI MINHA DÍVIDA UM DIA APÓS A DATA DE VENCIMENTO E NÃO FOI QUITADO O VALOR!,No dia 19/02/2025 gerei um boleto para quitação da minha dívida que já estava com um juros altíssimo e abusivo de quase 20.00...
Problema de compra,"Meu nome é ******* Cristina Ribeiro Benedicto (CPF: *******), e venho, por meio deste, solicitar a abertura de uma disputa e ..."
Bloqueio da conta,Fui fazer um pix para uma nova conta e bloquearam ! Eu preciso que resolvam pois preciso trabalhar com o dinheiro que está lá...
"SCR com dados errado, derrubando meu score.","Recebi um comunicado da serasa informando a queda do meu score,entrei em contato para entender o motivo já que não devo a nin..."
RESTRIÇÃO INDEVIDA NO REGISTRADO,"Prezados,Venho solicitar a retirada de uma dívida indevida registrada no Registrato. Solicito que o r..."
[Editado pelo Reclame Aqui] na conta,Boa tardeNo dia 03/02/2025 minha conta foi [Editado pelo Reclame Aqui] até então liguei no mesmo dia para o banco...
"Parcelamento não efetivado, por erro da empresa","Realizei o parcelamento da fatura com vencimento dia 24/02, com o pagamento da entrada para o mesmo dia, pago via Pix.O..."
Nunca mais houve aumento de limite!,Estou entrando em contato para expressar minha insatisfação com a falta de aumento do meu limite de crédito. Sou cliente do N...
Ajuda,"Olá, boa tarde. Gostaria de agradecer pelo suporte e a devolução do valor referente a compra da Hurb que não recebi o pacote ..."
[Editado pelo Reclame Aqui] pix,"Fiz uma compra na latam de um voo para Goiânia no dia do 07/03 de 2025 retorno dia 09/03 de 2025,no valor de 467,50. So que n..."
"Pago as faturas em dia, antecipei parcelas do cartão e juros do empréstimo se mantém alto e eu não recebo aumento de limite no cartão","A esposa de um colega de trabalho conseguiu um empréstimo abaixo de 5%,na qual usou esse empréstimo para compra de uma moto, ..."
Reembolso,Fiz um pix pra uma conta antiga minha do Bradesco só que eu não sabia que já estava inexistente a conta aí acabou indo pra lá...
Limite nunca dá,Já não sei quantas vezes vou ter que reclamar desse banco sempre uso cartão coloquei meu salário pra receber nesse banco mais...
Quero encerrar minha conta a anos e não consigo!!!,Abri a conta com 1 finalidade guardar dinheiro até lá tudo bem porém quando fui tirar meu dinheiro investido tive diversos pr...
valores descontados na minha conta sem minha autorização e parcelas no meu cartão de crédito sem meu concedimento entrei em contato assim que vi 17/02/2025 e até hoje não fizeram nada,tinha um dinheiro guardado na caixinha de 500 reias e começou a sumir aos poucos por [Editado pelo Reclame Aqui] não se...
Me garatiram q seria reativado apos o acordo pago sem parcelar,Fiz um acordo de pagamento com juros e me garatiram q seria reativado porem ate o momento segue cancelado mesmo com pagamento...
CONTA BLOQUEADA POR FAZER UM PIX COTIDIANO,"Tenho um saldo R$[Editado pelo Reclame Aqui].378,00 no Nubank fui enviar um pix para minha esposa e a conta simplesmente bloq..."
Reembolso não caiu na conta,"Olá, tenho uma carta emitida pela Cielo referente a um estorno feito em janeiro. O estorno ainda não foi emitido pela Nubank...."
Nubank banco [Editado pelo Reclame Aqui] 2,"Cancelei a conta, porém todos os meus dados continuam lá como se a conta estivesse aberta, inclusive tem opção de reabrir a c..."
Cai num [Editado pelo Reclame Aqui] e a nubank facilitou,"Levei um [Editado pelo Reclame Aqui], paguei 3 Pix para a mesma pessoa d valores diferentes, pois a cada hora tinha uma descu..."
Cai num [Editado pelo Reclame Aqui] e a nubank facilitou,"Levei um [Editado pelo Reclame Aqui], paguei 3 Pix para a mesma pessoa d valores diferentes, pois a cada hora tinha uma descu..."
Compra não identificada,"Foi feito 4 compras no dia 20 de fevereiro no valor de 225,54 e outra dia 21 de 82.74 no meu cartão de crédito, e eu não reco..."
Alteração de Senha,"Prezados, boa tardeGostaria de mudar a senha do meu cartão, minha primeira tentativa foi feita através de e-mail ..."
Nubank não permite parcelamento após vencimento da fatura para ganhar mais com juros rotativo,"Vcs jogaram o valor da minha fatura de fevereiro toda para março, paguei com apenas um dia de atraso e gostaria de protestar ..."
Retirar Apontamentos do Serasa,"De acordo com o Artigo 42 do Código de Defesa do Consumidor, na cobrança de débitos, o consumidor inadimplente não será expos..."
Dívida com a Nu,"Sempre tive cartão da nubank, até que fui demitida e não consegui mais pagá-lo, por conta dos juros super abusivos hoje estou..."
Não entrega de encomenda e dificuldade de comunicação com a empresa,Em nov/24 minha esposa e eu aguardávamos uma encomenda remetida pelo NuBank. Não foram realizadas tentativas no portão do loc...
Conta bloqueada,"Meu namorado comprou um açaí de uma loja no dia 15/02, a loja devolveu o troco através do pix e a conta dele foi simplesmente..."
Conta cancelada sem aviso prévio e com saldo nela,"Descaso o que a nubank está fazendo comigo! Cancelaram minha conta sem me avisar antes com todo meu dinheiro nela, tenho mais..."
Dinheiro sumiu,"Boa tarde no final do ano passado fiz uma transferência via pix para o meu banco next , utilizando a conta nubank .Auto..."
Dinheiro sumiu,"Boa tarde no final do ano passado fiz uma transferência via pix para o meu banco next , utilizando a conta nubank .Auto..."
Conta exclusa com [Editado pelo Reclame Aqui] do meu dinheiro,"Fiz um empréstimo consignado na Caixa Economica para comprar um veiculo, esse valor do empréstimo transferi da minha conta da..."
Cancelamento de todos os serviços incluindo cartão de crédito e da minha conta completa . Inclusive com saldo em conta !,"Dia 25/02/2024 , estava eu utilizando os serviços da minha conta nubank , fazendo pagamentos e recebendo pagamentos . ( Tinh..."
Compra não reconhecida,No dia 23.02.2025 fizeram uma compra de um valor alto na Amazon e utilizaram meu cartão virtual da nubank
Serasa,Olá. Fiz um parcelamento com o débito do meu cartão pois troquei de emprego e não consegui alterar a data vencimento. Ocasion...
Dívida não retirada do registrati,"Efetuei um acordo com o nubank na, e apesar de ter pago e terem retirado do Serasa, ainda consta no registrato. Peço que reti..."
Cobrança indevida,"Minha assinatura foi suspensa e não consigo resolver, entro em contato com a globoplay e a mesma fala que o problema é com a ..."
Meu aplicativo não dar certo não,Eu passei mais de mês esperando aí fica só dizendo cadastro finalizado e não abre o aplicativo eu queria tentar de novo começ...
Assunto: Reclamação Administrativa Falha na Segurança e Restrição Indevida ao Crédito,"Venho, por meio desta, formalizar uma reclamação administrativa acerca de uma grave falha na segurança do sistema do Nubank, ..."
Proibido Antecipar pagamentos!,"Em 26/02/25 entrei em contato via chat pedindo auxílio para antecipar o pagamento de uma compra feita no cartão de crédito, v..."
Bloqueio saldo FGTS,A Nubank bloqueou meu saldo do fgts mesmo tendo antecipado o pagamento das parcelas do empréstimo. Fui na caixa econômica e m...
Não consigo um extrato DIRF da conta CNPJ,Preciso par entregar ao contador com finalidade de declaração de imposto de renda um extrato DIRF da conta CNPJ e não se enco...
A Conta da minha mãe está bloqueada para fazer transferência.,A conta da minha mãe está bloqueada já tem uns 5 meses é ela não consegue desbloquear de jeito nenhum. Toda vez que ela liga ...
Desnecessário ficar autorizando. Uma vez basta!,Com frequência tento usar o PIX no WhatsApp e fica me pedindo para autorizar no app. Acontece com MENOS de 30 dias. Isso é ch...
Conta bloqueada injustamente e sem resposta! Preciso de solução urgente!,"Minha conta PJ na Nubank foi bloqueada por conta de uma contestação de uma venda no valor de R$ 589,00, mesmo após eu ter env..."
Limite não passa de 3200 a mais de 3 anos,"Preciso de aumento de limite, estou com 3200 de limite por anos. Meu score é alto, tenho um bom histórico de pagamentos..."
Cobrança,Tinha um cartão de crédito nubank está indo tudo sobre controle com meu cartão e com meu empréstimo em agosto do ano passad...
Cobranças,"A nubank está me cobrando juros absurdos, sendo que já tinha quitado uma fatura, porém no dia não abateu o valor, fizeram um ..."
Não consigo cancelar a parcela da minha fatura,Parcelei a minha fatura pensando que não ia conseguir pagar mas felizmente conseguir o dinheiro e eles não querem cancelar os...
*******,A nubank cancelou meu crédito mesmo quitando toda a dívida não deixando claro que o cancelamento continuaria
*******,Boa tarde tudo bom O meu problema é que eu não tô tendo acesso a conta nubank a conta PJ nubank
O valor não bate com o que paguei,"Bom dia. Tudo bem? O que acontece é o seguinte: a minha fatura de fevereiro é de R$ 422,07. Porém, na cobrança do fechamento ..."
Nubank não estorna valor de compra cancelada!,"No dia 07/11/2024, realizei uma compra com o cartão Nubank (em nome de *******) no site Compra Certa. No entanto, ao receber ..."
Cancelou meu cartão de crédito por atraso na fatura !,"Tive um imprevisto financeiro em casa e, infelizmente, atrasei minha fatura do Nubank por alguns dias. Sei ..."
Insatisfação com limite de crédito no Nubank,Sou cliente Nubank e tenho priorizado essa instituição em minhas movimentações financeiras. Comprovei renda mínima de R$7.000...
Cobrança indevida,Venho por meio desta solicitar esclarecimentos urgentes sobre uma cobrança indevida em minha conta. Identifiquei a geração de...
Nubank bloqueou meu dinheiro e não permite antecipação do empréstimo,"Fiz um empréstimo com o Nubank para ser pago em três vezes, com a primeira parcela vencendo em abril. Para garant..."
Apareceu limite adicional de 400 e sumiu porque,Apareceu o limite adicional de 400 e sumiu por quê
Cartão de Crédito cancelado,Bom dia. Sou Pedro e fazem mais de três anos que utilizo a Nubank como conta principal. A Nubank é um banco maravilhoso. Todo...
Fui vítima de [Editado pelo Reclame Aqui] e [Editado pelo Reclame Aqui],"Na data de hoje 27/02/2025, fui acessar a minha conta da nubank para retirar um dinheiro para realizar um investimento, quan..."
Reativação de conta,"Minha conta foi desativada a uns anos atrás, disseram que foi pelo time de segurança. Agora estou tentando reativar e não con..."
Compra efetuada em site [Editado pelo Reclame Aqui],"No dia 16 de janeiro de 2025, efetuei uma compra online num site que aparece no google como loja oficial da Growth, mas assim..."
Cobrança,"Fiz um acordo paguei a 2 parcela dia 18 de fevereiro, porém no aplicativo consta somente 1/3 sendo que consta também o histór..."
Cobrança indevida,"A Nubank está me cobrando um empréstimo que eu não fiz, já entrei em contato com eles, eles disseram que é um erro interno e ..."
Limite Estagnado,"Sou cliente da Nubank tem 4 anos, e o mesmo ano que eu abri a conta me liberaram um carão de crédito que em pouco tempo foi p..."
Impossível a reativação do cartão de crédito da Nubank,"Bom dia! Tudo bem? Me chamo Laís e tenho minha conta Nu faz muitos anos, porém, por questões pessoais, eu cancelei meu cartão..."
Eu fui [Editado pelo Reclame Aqui],Eu fui [Editado pelo Reclame Aqui] no dia 14 de fevereiro horário de trabalho eu sou motorista de carga me pegaram colocaram ...
Nubank não me permite mudar o vencimento da minha fatura,Estou a dias tentando mudar o vencimento da fatura sem sucessoMudei de empresa e agora recebo alguns dias depois e com ...
Conta bloqueada,"Nubank toda vez que vou fazer uma transação,simplesmente bloqueia a minha conta sem nem um aviso prévio ,tenho saldo minhas c..."
Adiantamento FGTS,"Bom dia, segunda feira solicitei o adiantamento saque aniversário FGTS e até hoje não recebi o dinheiro, não consigo tentar n..."
NÂO recebi um PIX feito para Nubank a mais de 3 meses,"Fiz um PIx de um aplicativo chamado BIPA e a transação consta como completada com sucesso, com todos os dados de transferênci..."
